ID,Attrition,AgeCat,Age,Educ_Field,Education,EducationField,BusinessTravel,JobLevel,JobRole,Department,StockOptionLevel,OverTime,PerformanceRating,MonthlyIncome,PercentSalaryHike,MonthlyRate,DailyRate,HourlyRate,DistanceFromHome,EESatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Gender,MaritalStatus,OtherCoExp,NumCompaniesWorked,PriorExpYrs,TotalWorkingYears,ServiceCat,YearsAtCompany,PromoLast3,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,Over18,StandardHours,EmployeeCount,EmployeeNumber,Rand
48,No,35-40,38,4_Marketing,4,Marketing,Rarely,3,Sales Executive,Sales,2,1,3,8740,14,5569,770,73,10,2.6,3,2,3,2,3,2,Male,Divorced,1,0,1,9,8-10,8,1,2,7,7,Y,80,1,1119,-1.761585832
49,Yes,<25,18,3_Marketing,3,Marketing,Frequently,1,Sales Representative,Sales,0,1,3,1878,14,8059,1306,69,5,2.8,2,3,2,4,3,3,Male,Single,0,1,0,0,0-1,0,0,0,0,0,Y,80,1,614,-1.757774323
50,No,25-30,27,3_Medical,3,Medical,0ne,1,Research Scientist,Research & Development,1,0,3,2024,18,5970,691,57,9,2.8,4,3,2,4,1,1,Male,Divorced,1,6,4,6,1-3,2,1,2,2,2,Y,80,1,218,-1.754542441
51,No,35-40,38,1_Life Sciences,1,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,2619,17,14561,362,43,1,2.6,3,3,1,4,2,3,Female,Single,1,3,8,8,0-1,0,0,0,0,0,Y,80,1,662,-1.749608279
52,No,50+,58,3_Medical,3,Medical,Rarely,5,Research Director,Research & Development,1,1,4,19701,21,22456,1055,76,1,2.8,4,3,1,3,3,3,Female,Married,1,3,23,32,8-10,9,1,1,8,5,Y,80,1,1423,-1.73835467
53,No,40-45,44,1_Life Sciences,1,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,3,2011,13,19982,1117,72,2,3.2,1,4,4,4,3,5,Female,Married,0,1,0,10,10+,10,0,7,5,7,Y,80,1,1246,-1.735627044
54,No,45-50,45,2_Life Sciences,2,Life Sciences,0ne,2,Laboratory Technician,Research & Development,0,0,3,4447,12,23163,805,57,4,2.4,3,3,2,2,2,5,Male,Married,0,1,0,9,8-10,9,0,0,7,8,Y,80,1,972,-1.730411695
55,No,30-35,31,4_Life Sciences,4,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,0,0,4,4424,23,20682,746,61,8,3.4,3,3,4,4,3,2,Female,Single,0,1,0,11,10+,11,1,1,7,8,Y,80,1,98,-1.728125751
56,No,40-45,41,4_Life Sciences,4,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,2,0,4,2289,20,20520,548,94,9,2.4,3,3,1,2,3,2,Male,Divorced,0,1,0,5,5-8,5,0,0,3,4,Y,80,1,1772,-1.725980504
57,Yes,40-45,42,3_Medical,3,Medical,Frequently,1,Research Scientist,Research & Development,0,1,3,2759,12,20366,933,57,19,3.4,3,4,3,4,3,2,Male,Divorced,1,6,5,7,1-3,2,1,2,2,2,Y,80,1,752,-1.722078863
58,No,25-30,29,1_Medical,1,Medical,Rarely,1,Laboratory Technician,Research & Development,0,1,3,4723,18,16213,1370,87,3,2.6,2,3,1,4,3,3,Male,Single,0,1,0,10,10+,10,1,1,9,5,Y,80,1,1586,-1.694089125
59,No,35-40,37,4_Medical,4,Medical,0ne,3,Research Director,Research & Development,2,1,3,13603,18,11677,728,80,1,2.4,1,3,4,1,3,2,Female,Divorced,1,2,10,15,5-8,5,0,0,2,2,Y,80,1,380,-1.679621782
60,Yes,25-30,25,1_Life Sciences,1,Life Sciences,Frequently,1,Sales Representative,Sales,0,1,3,1118,14,8040,599,73,24,3,3,1,4,4,3,4,Male,Single,0,1,0,1,1-3,1,1,1,0,0,Y,80,1,1273,-1.675268478
61,Yes,35-40,36,1_Life Sciences,1,Life Sciences,Rarely,3,Sales Executive,Sales,1,1,3,10325,11,5518,530,51,3,2.6,3,2,4,1,3,6,Male,Married,0,1,0,16,10+,16,1,3,7,7,Y,80,1,967,-1.673557278
62,No,35-40,36,4_Technical Degree,4,Technical Degree,Rarely,3,Healthcare Representative,Research & Development,0,0,3,7094,12,5747,325,63,10,2.8,4,3,3,1,3,0,Female,Married,1,3,3,10,5-8,7,1,1,7,7,Y,80,1,1312,-1.661289883
63,No,30-35,31,2_Life Sciences,2,Life Sciences,Rarely,1,Sales Representative,Sales,1,0,3,3067,19,6393,1154,54,2,2.6,1,3,3,3,3,1,Male,Married,1,0,1,3,1-3,2,1,1,2,2,Y,80,1,1996,-1.660521374
64,No,<25,18,3_Medical,3,Medical,0ne,1,Research Scientist,Research & Development,0,0,3,1514,16,8018,1431,33,14,2.4,2,3,3,3,1,4,Female,Single,0,1,0,0,0-1,0,0,0,0,0,Y,80,1,1839,-1.659423842
65,Yes,<25,24,2_Life Sciences,2,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,1,0,3,2210,13,3372,984,97,17,2.2,4,3,2,1,1,3,Female,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,1219,-1.642248545
66,No,30-35,32,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,2,1,3,3298,12,15053,334,80,5,2.6,1,4,2,4,2,5,Male,Divorced,1,0,1,7,5-8,6,0,0,2,5,Y,80,1,21,-1.634990142
67,No,35-40,35,4_Life Sciences,4,Life Sciences,Rarely,2,Research Scientist,Research & Development,0,0,3,6646,13,19368,1017,82,6,2.4,2,1,4,2,3,3,Male,Single,0,1,0,17,10+,17,0,11,11,8,Y,80,1,691,-1.630727422
68,No,<25,23,2_Other,2,Other,Rarely,1,Laboratory Technician,Research & Development,0,0,3,2647,13,13672,571,78,12,3.6,4,3,4,3,4,6,Male,Single,0,1,0,5,5-8,5,1,1,2,4,Y,80,1,1982,-1.62429226
69,No,35-40,35,3_Medical,3,Medical,Frequently,1,Research Scientist,Research & Development,1,0,3,2194,13,5868,664,79,1,2.4,2,3,1,4,2,2,Male,Married,1,4,2,5,3-5,3,1,1,2,2,Y,80,1,88,-1.610114065
70,No,35-40,37,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,0,0,3,2115,12,15881,1372,42,1,3.2,4,3,4,2,3,3,Female,Single,0,1,0,17,10+,17,0,5,12,7,Y,80,1,391,-1.606823569
71,No,40-45,41,3_Life Sciences,3,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,4,2782,22,21412,642,76,1,3,4,3,4,1,3,3,Male,Married,1,3,7,12,5-8,5,1,1,3,0,Y,80,1,1999,-1.588405404
72,No,25-30,28,3_Medical,3,Medical,Rarely,2,Sales Executive,Sales,0,0,3,8463,18,23490,866,84,5,3,4,3,1,4,3,4,Male,Single,1,0,1,6,5-8,5,1,1,4,3,Y,80,1,1469,-1.587447714
73,Yes,35-40,35,2_Life Sciences,2,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,0,1,3,5916,13,15497,556,50,23,2.2,2,2,3,1,3,1,Male,Married,1,3,7,8,1-3,1,0,0,0,1,Y,80,1,261,-1.580875699
74,No,40-45,41,4_Life Sciences,4,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,1,1,3,4766,11,9051,167,46,12,2.6,2,3,4,1,3,4,Male,Married,1,3,5,6,1-3,1,0,0,0,0,Y,80,1,1158,-1.576850181
75,Yes,50+,52,3_Life Sciences,3,Life Sciences,Rarely,3,Sales Executive,Sales,0,1,3,8446,19,21534,1030,64,5,2.4,2,3,2,3,2,2,Male,Single,1,9,2,10,8-10,8,0,7,7,7,Y,80,1,1319,-1.571873543
76,No,30-35,30,2_Medical,2,Medical,Frequently,2,Laboratory Technician,Research & Development,0,0,4,4011,23,10781,721,58,1,3.4,3,3,4,4,3,2,Female,Single,0,1,0,12,10+,12,1,3,8,7,Y,80,1,57,-1.567533269
77,No,30-35,34,3_Technical Degree,3,Technical Degree,Rarely,3,Sales Executive,Sales,0,1,3,7083,14,12288,971,64,1,3.2,4,2,3,4,3,3,Male,Married,0,1,0,10,10+,10,0,8,9,6,Y,80,1,1535,-1.562071163
78,No,45-50,46,4_Life Sciences,4,Life Sciences,Rarely,4,Manager,Sales,0,0,3,17567,15,3156,563,56,1,2.4,4,4,1,2,1,5,Male,Single,1,1,1,27,10+,26,0,0,0,12,Y,80,1,1602,-1.551760951
79,No,45-50,45,3_Medical,3,Medical,0ne,3,Sales Executive,Sales,0,0,3,8865,12,16840,1052,57,6,3.4,4,2,4,4,3,2,Female,Single,1,6,4,23,10+,19,0,12,7,8,Y,80,1,302,-1.537961787
80,No,30-35,31,1_Medical,1,Medical,Rarely,1,Laboratory Technician,Research & Development,3,1,3,1129,11,17536,1276,59,2,3,4,1,4,3,3,4,Female,Divorced,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,1974,-1.535826898
81,Yes,35-40,37,2_Medical,2,Medical,Rarely,2,Healthcare Representative,Research & Development,0,0,3,4777,15,14382,1141,61,11,1.2,1,1,2,1,1,2,Female,Married,1,5,14,15,1-3,1,0,0,0,0,Y,80,1,1033,-1.529751186
82,No,35-40,35,4_Life Sciences,4,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,1,0,3,6883,16,5151,1370,49,27,3,4,3,3,2,3,3,Male,Married,1,2,10,17,5-8,7,0,0,7,7,Y,80,1,1728,-1.525112324
83,No,35-40,38,4_Life Sciences,4,Life Sciences,Frequently,2,Manufacturing Director,Research & Development,1,0,3,5321,11,14284,508,72,6,2.6,1,2,3,4,3,1,Male,Married,1,2,2,10,8-10,8,0,7,3,7,Y,80,1,1997,-1.516446629
84,No,35-40,37,3_Medical,3,Medical,Rarely,2,Research Scientist,Research & Development,2,1,3,5974,13,17001,1319,51,6,2.4,3,4,1,1,3,2,Male,Divorced,1,4,6,13,5-8,7,0,6,7,7,Y,80,1,474,-1.507968186
85,No,35-40,36,4_Life Sciences,4,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,0,1,3,5410,11,2323,429,53,2,3,3,3,2,4,3,2,Female,Single,1,9,2,18,10+,16,0,5,14,12,Y,80,1,1294,-1.498857245
86,No,50+,59,3_Life Sciences,3,Life Sciences,Rarely,4,Manufacturing Director,Research & Development,0,1,3,13726,13,21829,715,69,2,2.6,3,2,4,1,3,4,Female,Single,1,3,25,30,5-8,5,0,4,3,3,Y,80,1,1032,-1.490824905
87,No,45-50,47,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,4960,12,11825,703,42,14,3,4,3,1,4,3,2,Male,Single,1,2,13,20,5-8,7,1,1,7,7,Y,80,1,728,-1.490353821
88,Yes,35-40,35,4_Other,4,Other,Rarely,1,Laboratory Technician,Research & Development,1,1,4,3743,24,10074,622,39,14,2.4,3,2,2,4,1,2,Male,Divorced,1,1,1,5,3-5,4,0,0,2,2,Y,80,1,1010,-1.482950587
89,No,25-30,27,3_Life Sciences,3,Life Sciences,Frequently,3,Sales Executive,Sales,0,0,3,8726,15,2975,994,37,8,3.4,4,3,3,4,3,0,Male,Single,0,1,0,9,8-10,9,1,1,8,7,Y,80,1,56,-1.482139223
90,No,45-50,46,4_Marketing,4,Marketing,Rarely,5,Manager,Sales,0,0,3,18947,12,22822,705,83,2,2.4,2,3,1,4,2,2,Female,Single,1,3,20,22,1-3,2,1,2,2,1,Y,80,1,38,-1.478653439
91,No,35-40,38,2_Life Sciences,2,Life Sciences,Frequently,1,Laboratory Technician,Research & Development,1,1,4,1702,23,12106,1490,42,2,3.4,4,3,4,3,3,3,Male,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,556,-1.478191656
92,Yes,25-30,29,1_Life Sciences,1,Life Sciences,Rarely,3,Sales Executive,Sales,1,0,3,7336,13,11162,408,45,23,1.8,4,2,1,1,1,3,Female,Married,0,1,0,11,10+,11,1,3,8,10,Y,80,1,1165,-1.474388438
93,Yes,35-40,37,2_Other,2,Other,Rarely,1,Laboratory Technician,Research & Development,0,1,3,2090,15,2396,1373,92,2,2.8,4,2,3,2,3,3,Male,Single,1,6,7,7,0-1,0,0,0,0,0,Y,80,1,4,-1.470599938
94,No,35-40,35,4_Medical,4,Medical,Rarely,2,Healthcare Representative,Research & Development,0,1,3,6142,16,4223,670,51,10,2.6,1,3,3,3,3,4,Female,Single,1,3,5,10,5-8,5,0,0,2,4,Y,80,1,1587,-1.467590542
95,No,50+,50,3_Life Sciences,3,Life Sciences,Rarely,5,Manager,Research & Development,0,0,3,19926,15,17053,1452,53,11,2.6,3,3,2,2,3,5,Female,Single,1,3,16,21,5-8,5,0,4,4,4,Y,80,1,226,-1.453101939
96,No,40-45,42,1_Life Sciences,1,Life Sciences,Rarely,2,Sales Executive,Sales,0,0,4,4907,25,24532,635,99,1,2.8,2,3,3,3,3,3,Male,Married,0,1,0,20,10+,20,0,11,16,6,Y,80,1,387,-1.44438671
97,No,45-50,46,3_Life Sciences,3,Life Sciences,Rarely,4,Manager,Sales,1,0,3,16606,12,11380,228,51,3,3.2,3,3,2,4,4,2,Female,Married,1,8,10,23,10+,13,0,5,12,1,Y,80,1,1527,-1.438257214
98,No,35-40,37,2_Life Sciences,2,Life Sciences,0ne,2,Healthcare Representative,Research & Development,1,0,3,5163,14,15850,1040,100,2,3.4,3,2,4,4,4,2,Male,Divorced,1,5,16,17,1-3,1,0,0,0,0,Y,80,1,139,-1.435959089
99,No,25-30,29,1_Life Sciences,1,Life Sciences,Frequently,1,Laboratory Technician,Research & Development,3,0,3,3180,13,4668,410,97,2,3,4,3,2,3,3,3,Female,Married,1,0,1,4,3-5,3,0,0,2,2,Y,80,1,1513,-1.429618979
100,No,30-35,34,3_Life Sciences,3,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,1,0,3,3294,17,3708,401,86,1,2.2,4,2,2,1,2,2,Female,Married,1,5,2,7,5-8,5,0,0,4,2,Y,80,1,1447,-1.428224343
101,No,25-30,27,1_Life Sciences,1,Life Sciences,Rarely,1,Laboratory Technician,Research & Development,0,0,3,2099,14,7679,1377,91,11,2.4,2,3,1,2,4,3,Male,Married,1,0,1,6,5-8,5,1,1,0,4,Y,80,1,1434,-1.427035921
102,No,30-35,31,2_Life Sciences,2,Life Sciences,Rarely,3,Sales Executive,Sales,1,0,3,10793,18,8386,326,31,8,2.4,1,3,4,1,3,5,Male,Divorced,0,1,0,13,10+,13,0,9,7,9,Y,80,1,1453,-1.408933149
103,No,30-35,34,4_Marketing,4,Marketing,0ne,2,Sales Executive,Sales,1,0,3,6538,15,12740,1381,72,4,2.6,3,3,3,1,3,3,Female,Married,1,9,3,6,3-5,3,1,1,2,2,Y,80,1,523,-1.408569629
104,No,<25,23,3_Medical,3,Medical,Rarely,1,Research Scientist,Research & Development,1,0,3,2819,16,8544,885,58,4,2.2,1,4,1,1,4,3,Male,Married,1,2,2,5,3-5,3,0,0,2,2,Y,80,1,705,-1.399322948
105,No,50+,53,3_Medical,3,Medical,Rarely,4,Research Director,Research & Development,0,0,3,16598,12,19764,447,39,2,2.8,4,4,2,2,2,2,Male,Single,1,4,26,35,8-10,9,0,8,8,8,Y,80,1,1472,-1.391730018
106,No,25-30,26,4_Medical,4,Medical,Rarely,1,Laboratory Technician,Research & Development,1,0,4,4420,22,13421,1384,82,3,2.8,1,4,4,2,3,2,Male,Married,0,1,0,8,8-10,8,0,0,7,7,Y,80,1,1177,-1.389162283
